,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
0,California,89010,458.0,189.0,269.0,51.8,458.0,67.0,14.62882096069869,42250.0,23935.0,12.0,2.6200873362445414,341.0,1981.0,118800.0,388.0,9.0,7.0,0.0,50.0,37.8039527,-118.0654445,Dyer,Nevada
1,California,89019,1762.0,805.0,957.0,54.9,1762.0,172.0,9.761634506242906,37344.0,25287.0,83.0,4.7105561861520995,1288.0,1993.0,104200.0,1550.0,42.0,3.0,93.0,55.0,35.8397983,-115.6154732,Jean,Nevada
2,California,89060,9411.0,4932.0,4479.0,53.0,9411.0,1947.0,20.688555945170545,36617.0,20477.0,489.0,5.19604717883328,4815.0,1997.0,104800.0,7709.0,715.0,0.0,54.0,725.0,36.3800305,-116.0886704,Pahrump,Nevada
3,California,89061,5485.0,2541.0,2944.0,56.7,5485.0,329.0,5.998176845943482,57480.0,30126.0,85.0,1.5496809480401095,2547.0,2000.0,150000.0,4534.0,60.0,118.0,295.0,273.0,36.0446551,-115.8758354,Pahrump,Nevada
4,California,89439,1484.0,705.0,779.0,51.5,1484.0,114.0,7.681940700808625,61071.0,39219.0,91.0,6.132075471698113,703.0,1985.0,244800.0,1447.0,6.0,0.0,0.0,17.0,39.5180921,-119.9928437,Verdi,Washoe County
5,California,90001,57942.0,29520.0,28422.0,28.0,57942.0,18902.0,32.62227744986366,34323.0,11294.0,3165.0,5.462358910634773,14235.0,1950.0,272200.0,20811.0,5153.0,520.0,97.0,30661.0,33.9697897,-118.2468148,Los Angeles,Los Angeles County
6,California,90002,51826.0,24877.0,26949.0,27.5,51826.0,18302.0,35.31432099718288,32520.0,11212.0,2845.0,5.489522633427237,13103.0,1951.0,248200.0,19573.0,11188.0,411.0,311.0,19716.0,33.9511133,-118.2497386,Los Angeles,Los Angeles County
7,California,90003,70208.0,33953.0,36255.0,28.0,70208.0,24556.0,34.9760711030082,31878.0,10611.0,4178.0,5.950888787602552,17749.0,1951.0,268500.0,18114.0,16206.0,594.0,180.0,34284.0,33.9657994,-118.2731269,South Los Angeles,Los Angeles
8,California,90004,63095.0,31141.0,31954.0,35.5,63095.0,12919.0,20.4754734923528,43180.0,29194.0,3217.0,5.098660749663206,24629.0,1946.0,838000.0,25611.0,2405.0,115.0,15870.0,16752.0,34.0748887,-118.3082034,Los Angeles,Los Angeles County
9,California,90005,39338.0,19592.0,19746.0,33.9,39338.0,11520.0,29.284661141898418,31485.0,20265.0,2324.0,5.9077736539732575,17075.0,1947.0,672600.0,7471.0,2213.0,281.0,13289.0,15096.0,34.0578814,-118.3096648,Central LA,Los Angeles
10,California,90006,61230.0,30807.0,30423.0,33.6,61230.0,17456.0,28.508900865588764,31993.0,14306.0,3983.0,6.504981218357014,20829.0,1950.0,469200.0,13274.0,2122.0,556.0,11667.0,32329.0,34.0470832,-118.2965121,Central LA,Los Angeles
11,California,90007,41979.0,20802.0,21177.0,24.3,41979.0,17605.0,41.93763548440887,22485.0,11658.0,2475.0,5.8958050453798325,12777.0,1955.0,421200.0,12305.0,4360.0,230.0,8406.0,15325.0,34.0295114,-118.2848199,Los Angeles,Los Angeles County
12,California,90008,32060.0,14038.0,18022.0,43.7,32060.0,6769.0,21.11353711790393,36134.0,28316.0,1779.0,5.548970679975047,15705.0,1953.0,507900.0,5590.0,21051.0,101.0,990.0,2982.0,34.0083231,-118.3491169,Los Angeles,Los Angeles County
13,California,90010,3524.0,1773.0,1751.0,38.8,3524.0,581.0,16.48694665153235,47569.0,37831.0,195.0,5.5334846765039725,2232.0,1983.0,759400.0,665.0,199.0,10.0,2436.0,171.0,34.0625448,-118.3089341,Central LA,Los Angeles
14,California,90011,104762.0,52020.0,52742.0,28.2,104762.0,40661.0,38.81273744296596,31684.0,10103.0,4022.0,3.8391783280197016,24511.0,1944.0,294800.0,37997.0,8979.0,1048.0,571.0,54842.0,34.007889,-118.2585096,South Los Angeles,Los Angeles
15,California,90012,32543.0,19922.0,12621.0,35.8,32543.0,7755.0,23.830009525858095,32712.0,21989.0,834.0,2.5627631134191686,12146.0,1984.0,432700.0,9438.0,4074.0,188.0,13329.0,4385.0,34.0653347,-118.243891,Los Angeles,Los Angeles County
16,California,90013,11668.0,7315.0,4353.0,43.7,11668.0,5229.0,44.8148782996229,22058.0,33518.0,847.0,7.25917038052794,7678.0,1939.0,476700.0,4349.0,3522.0,125.0,1935.0,773.0,34.043925,-118.2424291,Central LA,Los Angeles
17,California,90014,7191.0,4447.0,2744.0,41.3,7191.0,2809.0,39.06271728549576,23580.0,39272.0,460.0,6.396884995132805,5334.0,1939.0,403100.0,3673.0,1293.0,50.0,1065.0,609.0,34.0434783,-118.2519314,Downtown,Los Angeles
18,California,90015,19378.0,9720.0,9658.0,32.8,19378.0,7366.0,38.0121787594179,30463.0,28731.0,964.0,4.9747135927340285,8956.0,1974.0,560300.0,6614.0,1430.0,241.0,3012.0,7650.0,34.0390107,-118.2672801,Los Angeles,Los Angeles County
19,California,90016,47079.0,22515.0,24564.0,36.1,47079.0,10438.0,22.171244079101086,41140.0,21578.0,2364.0,5.021347097431976,18297.0,1948.0,394100.0,17288.0,16197.0,345.0,1627.0,9950.0,34.0255188,-118.3520389,Los Angeles,Los Angeles County
20,California,90017,25772.0,13865.0,11907.0,30.9,25772.0,11732.0,45.52227223343163,25143.0,20413.0,945.0,3.6667701381344093,11360.0,1965.0,511300.0,8822.0,1372.0,483.0,3880.0,10655.0,34.0543797,-118.2672801,Central LA,Los Angeles
21,California,90018,51639.0,24769.0,26870.0,34.8,51639.0,13485.0,26.113983617033636,35696.0,17937.0,2966.0,5.743720831154747,17283.0,1943.0,407600.0,9680.0,17413.0,619.0,2052.0,20215.0,34.0309972,-118.319894,Los Angeles,Los Angeles County
22,California,90019,68530.0,33741.0,34789.0,37.6,68530.0,14117.0,20.599737341310377,47518.0,28915.0,3433.0,5.009484897125347,25893.0,1944.0,694200.0,24300.0,13512.0,762.0,10884.0,16837.0,34.0489277,-118.3403506,Central LA,Los Angeles
