,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
74,California,90210,20957.0,9904.0,11053.0,47.5,20957.0,1903.0,9.080498162904997,146250.0,103832.0,657.0,3.134990695233096,9549.0,1962.0,2000001.0,17678.0,250.0,8.0,2020.0,304.0,34.1030032,-118.4104684,Beverly Hills,Los Angeles County
75,California,90211,8129.0,3777.0,4352.0,41.0,8129.0,878.0,10.800836511255998,73659.0,59780.0,329.0,4.047238282691598,4143.0,1951.0,1190000.0,6595.0,129.0,9.0,912.0,155.0,34.0661071,-118.3841777,Beverly Hills,Los Angeles County
76,California,90212,12915.0,5747.0,7168.0,41.0,12915.0,1199.0,9.283778552071235,100183.0,71920.0,583.0,4.51413085559427,6235.0,1943.0,1578800.0,10629.0,124.0,24.0,933.0,210.0,34.0617109,-118.4017053,Beverly Hills,Los Angeles County
163,California,90802,39873.0,21152.0,18721.0,36.1,39873.0,9898.0,24.82381561457628,45689.0,34394.0,1795.0,4.50179319338901,22579.0,1964.0,320400.0,23096.0,6689.0,687.0,3578.0,3843.0,33.7415317,-118.1941785,Long Beach,Los Angeles County
164,California,90803,31680.0,15416.0,16264.0,43.6,31680.0,2619.0,8.267045454545455,78406.0,61136.0,1344.0,4.242424242424242,18110.0,1959.0,747900.0,26252.0,1190.0,137.0,2085.0,648.0,33.7523035,-118.1298234,Long Beach,Los Angeles County
165,California,90804,40751.0,19934.0,20817.0,30.4,40751.0,10159.0,24.929449584059288,46790.0,22900.0,1943.0,4.767981153836716,15402.0,1966.0,420900.0,25732.0,4955.0,280.0,4918.0,3005.0,33.7806646,-118.1503026,Long Beach,Los Angeles County
166,California,90805,95808.0,47186.0,48622.0,30.2,95808.0,22869.0,23.869614228456914,45878.0,17574.0,6539.0,6.8251085504342015,27597.0,1957.0,324100.0,30269.0,19319.0,678.0,10544.0,29125.0,33.8640647,-118.1766294,Long Beach,Los Angeles County
167,California,90806,42312.0,20573.0,21739.0,33.2,42312.0,10335.0,24.425694838343734,47034.0,18661.0,1977.0,4.672433352240499,13134.0,1952.0,381400.0,17991.0,7362.0,776.0,8063.0,5587.0,33.8065036,-118.1912538,Long Beach,Los Angeles County
168,California,90807,33217.0,16029.0,17188.0,39.4,33217.0,2102.0,6.328085016708312,72401.0,37422.0,1146.0,3.4500406418400216,13260.0,1953.0,533100.0,15493.0,5310.0,132.0,5863.0,3297.0,33.8332465,-118.1766294,Long Beach,Los Angeles County
169,California,90808,38637.0,18800.0,19837.0,42.9,38637.0,1906.0,4.9330952196081475,97500.0,42914.0,1020.0,2.6399565183632268,14266.0,1955.0,562600.0,28118.0,2036.0,405.0,3580.0,1791.0,33.8197825,-118.1064156,Long Beach,Los Angeles County
170,California,90810,37422.0,18572.0,18850.0,33.0,37422.0,7090.0,18.946074501630058,51271.0,17595.0,2076.0,5.547538880872215,9511.0,1955.0,338400.0,14423.0,4527.0,524.0,8712.0,4859.0,33.8113701,-118.2234229,Long Beach,Los Angeles County
171,California,90813,60997.0,30170.0,30827.0,27.9,60997.0,20928.0,34.3098840926603,31775.0,12752.0,3358.0,5.505188779776055,17674.0,1957.0,322700.0,30319.0,7070.0,1672.0,9020.0,9154.0,33.7844997,-118.1971031,Long Beach,Los Angeles County
172,California,90814,18760.0,9141.0,9619.0,37.7,18760.0,2773.0,14.781449893390192,61093.0,40166.0,778.0,4.1471215351812365,9450.0,1961.0,599500.0,13668.0,1597.0,150.0,1353.0,1106.0,33.7709051,-118.1429889,Long Beach,Los Angeles County
173,California,90815,39822.0,19444.0,20378.0,39.0,39822.0,4565.0,11.463512631208879,79809.0,36644.0,1399.0,3.5131334438250215,14834.0,1956.0,552800.0,29374.0,1711.0,221.0,4723.0,1321.0,33.7963296,-118.1181199,Long Beach,California
174,California,90822,148.0,137.0,11.0,61.3,148.0,0.0,0.0,-666666666.0,22275.0,0.0,0.0,0.0,-666666666.0,-666666666.0,59.0,19.0,0.0,24.0,4.0,33.8084732,-118.1495712,Long Beach,Los Angeles County
205,California,91214,30935.0,14485.0,16450.0,42.0,30935.0,1536.0,4.96524971714886,91255.0,38370.0,850.0,2.747696783578471,10892.0,1956.0,640300.0,19207.0,136.0,101.0,9100.0,995.0,34.2389818,-118.2351192,La Crescenta,Los Angeles County
222,California,91340,35681.0,17945.0,17736.0,31.6,35681.0,6246.0,17.50511476696281,55463.0,17122.0,1492.0,4.181497155348785,8716.0,1957.0,338400.0,21618.0,1044.0,210.0,331.0,11427.0,34.2913046,-118.4338345,San Fernando,Los Angeles County
666,California,93023,20168.0,9827.0,10341.0,48.8,20168.0,2547.0,12.628917096390321,70964.0,41355.0,702.0,3.480761602538675,8739.0,1967.0,586500.0,18419.0,38.0,86.0,282.0,680.0,34.5125711,-119.3714909,Ojai,California
681,California,93101,32157.0,16374.0,15783.0,32.1,32157.0,5941.0,18.47498211897876,53730.0,28803.0,1087.0,3.380290449979787,13539.0,1961.0,734800.0,23188.0,502.0,217.0,1278.0,5536.0,34.420334,-119.7107494,Santa Barbara,Santa Barbara County
682,California,93103,20827.0,10702.0,10125.0,35.5,20827.0,2902.0,13.933835886109378,71667.0,36595.0,735.0,3.5290728381427954,7889.0,1962.0,876900.0,15237.0,447.0,134.0,634.0,3599.0,34.433094,-119.6817845,Santa Barbara,Santa Barbara County
683,California,93105,25808.0,12231.0,13577.0,47.6,25808.0,1757.0,6.807966522008679,89127.0,48734.0,677.0,2.6232176069435833,11569.0,1962.0,947700.0,22077.0,221.0,269.0,802.0,1747.0,34.4402467,-119.7289889,Santa Barbara,Santa Barbara County
684,California,93108,11345.0,5264.0,6081.0,50.7,11345.0,676.0,5.958572058175408,131311.0,90971.0,367.0,3.234905244601146,5535.0,1968.0,2000001.0,10413.0,50.0,40.0,390.0,133.0,34.4381407,-119.6151426,Santa Barbara,Santa Barbara County
685,California,93109,11583.0,6076.0,5507.0,42.6,11583.0,1339.0,11.560044893378226,96394.0,49971.0,286.0,2.4691358024691357,4946.0,1963.0,942000.0,9750.0,211.0,76.0,558.0,382.0,34.4038383,-119.7252297,Santa Barbara,Santa Barbara County
686,California,93110,16777.0,8762.0,8015.0,44.0,16777.0,1668.0,9.942182750193718,78540.0,43770.0,566.0,3.3736663289026643,6654.0,1975.0,764700.0,12783.0,431.0,182.0,1084.0,1575.0,34.5084312,-119.7310213,Santa Barbara,Santa Barbara County
687,California,93111,18441.0,9381.0,9060.0,42.9,18441.0,1147.0,6.219836234477523,102644.0,44843.0,461.0,2.4998644325145056,6647.0,1970.0,800400.0,14408.0,266.0,111.0,1121.0,1859.0,34.4630827,-119.8062912,Santa Barbara,Santa Barbara County
