,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
1585,California,95903,1622,959,663,22.7,1622,140,8.631319358999999,38170,17107.0,40,2.466091245,430,1999,-666666666,1092,219,1,90,35,39.1170917,-121.38846709999999,Beale Air Force Base,Yuba County
1592,California,95918,2468,1479,989,52.9,2468,192,7.779578606,87462,43638.0,67,2.7147487839999997,1095,1989,350800,2160,34,100,30,14,39.293980299999994,-121.3312882,Browns Valley,Yuba County
1593,California,95919,1184,753,431,58.4,1184,149,12.58445946,37025,22780.0,0,0.0,642,1976,161600,936,0,0,30,0,39.4338542,-121.23974380000001,Brownsville,Yuba County
1597,California,95925,143,85,58,26.6,143,0,0.0,23576,21318.0,0,0.0,185,1956,-666666666,143,0,0,0,0,39.4828107,-121.1538564,Challenge,Yuba County
1603,California,95935,654,287,367,35.2,654,176,26.91131498,-666666666,27168.0,14,2.1406727830000003,364,1985,320700,618,28,0,0,0,39.366425899999996,-121.18249250000001,Dobbins,Yuba County
1626,California,95961,27141,13645,13496,30.9,27141,5055,18.62495855,48416,18987.0,1569,5.780921853,9226,1989,179300,18314,725,548,1993,2866,39.037517799999996,-121.5598345,Olivehurst,Yuba County
1627,California,95962,1235,662,573,56.9,1235,206,16.68016194,54853,37868.0,0,0.0,784,1991,241500,1190,8,0,0,0,39.3579705,-121.2740813,Oregon House,Yuba County
1453,California,95606,129,72,57,47.8,129,36,27.90697674,-666666666,43674.0,11,8.527131783,71,1960,-666666666,68,0,0,0,0,38.768469200000006,-122.1973081,Brooks,Yolo County
1454,California,95607,499,293,206,59.3,499,51,10.22044088,70038,44946.0,23,4.609218437,268,1984,539500,416,0,0,0,19,38.7963491,-122.1064668,Capay,Yolo County
1469,California,95627,3873,1932,1941,33.1,3873,405,10.45701007,58796,20800.0,152,3.924606248,1355,1982,202700,2708,0,15,273,840,38.6733773,-122.01554909999999,Esparto,Yolo County
1479,California,95637,349,217,132,33.3,349,103,29.51289398,51641,17957.0,26,7.449856734,184,1993,353700,106,83,0,0,136,38.8297286,-122.2427,Guinda,Yolo County
1491,California,95653,657,363,294,41.3,657,21,3.196347032,68750,21025.0,78,11.87214612,182,1975,191100,321,0,45,9,190,38.67804279999999,-121.96153079999999,Madison,Yolo County
1512,California,95679,20,10,10,-666666666.0,20,0,0.0,-666666666,,0,0.0,10,-666666666,-666666666,20,0,0,0,0,38.9160566,-122.31854650000001,Rumsey,Yolo County
1528,California,95695,39144,18858,20286,38.5,39144,4793,12.24453301,55386,27983.0,1839,4.698038013,15179,1972,313500,30010,626,645,1296,5131,38.6651725,-121.856261,Woodland,Yolo County
1529,California,95697,430,227,203,35.2,430,35,8.139534884,75708,22071.0,9,2.093023256,133,1968,-666666666,186,0,0,0,218,38.733006200000005,-121.80572439999999,Yolo,Yolo County
1530,California,95698,232,110,122,45.8,232,13,5.603448276,38984,19150.0,0,0.0,81,1968,376500,232,0,0,0,0,38.8018286,-121.918866,Zamora,Yolo County
1554,California,95776,23260,11604,11656,30.6,23260,3066,13.18142734,66870,24751.0,651,2.798796217,7398,1993,278900,14882,189,253,3587,3429,38.6944843,-121.69674380000001,Woodland,Yolo County
1605,California,95937,1400,692,708,40.2,1400,196,14.0,50824,23811.0,93,6.642857143,565,1991,126600,1209,79,0,0,89,38.852897600000006,-121.9984936,Dunnigan,Yolo County
64,California,90069,20435,12613,7822,41.6,20435,2067,10.11499878,82237,79600.0,1083,5.299730854,13867,1965,738100,15793,1020,62,1302,992,34.093160299999994,-118.37833470000001,Central LA,West Hollywood
4,California,89439,1484,705,779,51.5,1484,114,7.681940701,61071,39219.0,91,6.132075472,703,1985,244800,1447,6,0,0,17,39.518092100000004,-119.9928437,Verdi,Washoe County
214,California,91320,45502,23125,22377,40.6,45502,2293,5.03933893,109810,47761.0,1979,4.349259373,15396,1979,619100,35991,499,61,5268,1947,34.1810666,-118.9470422,Newbury Park,Ventura County
233,California,91360,43222,20853,22369,42.4,43222,3904,9.032437185,90459,39136.0,1726,3.993336727,15499,1972,597800,34832,338,185,3491,2450,34.202469799999996,-118.8741429,Thousand Oaks,Ventura County
239,California,91377,14885,7182,7703,41.7,14885,676,4.541484716,121348,57106.0,647,4.346657709,5511,1986,688300,11836,168,23,2019,103,34.1880333,-118.7606115,Oak Park,Ventura County
658,California,93003,51041,24724,26317,39.8,51041,4445,8.708685175,71806,34447.0,1820,3.5657608589999996,20236,1970,459600,42004,796,414,2599,2425,34.2985355,-119.2204548,Ventura,Ventura County
659,California,93004,30218,14839,15379,40.0,30218,3531,11.68508836,76388,32580.0,1255,4.1531537489999995,10925,1977,442800,24671,619,142,1341,1539,34.2765778,-119.16813729999998,Ventura,Ventura County
660,California,93010,44761,22017,22744,38.8,44761,3135,7.003864972000001,87206,38905.0,1138,2.542391814,16232,1974,532400,34120,1143,146,4052,2853,34.2330908,-119.08090120000001,Camarillo,Ventura County
661,California,93012,35714,16846,18868,42.3,35714,1668,4.6704373630000005,95981,43745.0,1260,3.528028224,13397,1986,531700,28289,832,133,3511,757,34.2295937,-118.9761519,Camarillo,Ventura County
663,California,93015,17487,8432,9055,35.1,17487,3436,19.64888203,56266,20763.0,589,3.3682163889999996,5270,1973,330400,14398,21,128,140,2281,34.416361200000004,-118.8829816,Fillmore,Ventura County
664,California,93021,37093,17830,19263,37.6,37093,2149,5.7935459520000006,100048,39266.0,1339,3.609845523,11741,1986,570300,29876,393,153,2689,2577,34.2942772,-118.8829816,Moorpark,Ventura County
665,California,93022,7154,3673,3481,42.3,7154,635,8.876153201000001,74600,35972.0,344,4.808498742,2584,1964,446400,6543,0,104,86,199,34.392515100000004,-119.3076098,Oak View,Ventura County
667,California,93030,60582,30982,29600,31.4,60582,11082,18.29256215,58524,20300.0,3046,5.027896075,15796,1973,386900,45814,1784,765,4324,5794,34.205402899999996,-119.16813729999998,Oxnard,Ventura County
668,California,93033,83103,42424,40679,29.0,83103,16454,19.79952589,55669,16154.0,3615,4.350023465,17830,1967,311100,62736,1818,1658,6257,8530,34.159988500000004,-119.1274334,Oxnard,Ventura County
669,California,93035,28258,14394,13864,41.3,28258,1540,5.4497841320000004,79748,35851.0,1068,3.7794606839999996,12094,1977,448600,22423,952,241,1889,1537,34.190302100000004,-119.22626670000001,Oxnard,Ventura County
670,California,93036,46328,22800,23528,31.1,46328,6280,13.55551718,62348,22687.0,1689,3.645743395,13048,1980,380000,34922,1292,141,3323,4494,34.232893700000005,-119.17976499999999,Oxnard,Ventura County
671,California,93040,1980,935,1045,33.7,1980,229,11.56565657,46339,18257.0,67,3.3838383839999997,600,1975,261500,1509,28,8,20,322,34.509651500000004,-118.83637560000001,Piru,Ventura County
672,California,93041,24351,12058,12293,30.4,24351,3256,13.37111412,58291,23554.0,1066,4.377643629,8656,1974,317800,16866,1300,184,1287,2049,34.1451995,-119.1942983,Port Hueneme,Ventura County
673,California,93042,104,100,4,22.2,104,0,0.0,-666666666,28204.0,0,0.0,0,-666666666,-666666666,49,4,0,5,25,33.2609258,-119.5223715,Naval Air Station Point Mugu,Ventura County
674,California,93043,163,64,99,27.4,163,0,0.0,-666666666,14483.0,0,0.0,13,-666666666,-666666666,110,0,0,0,53,34.1652138,-119.21028340000001,Naval Construction Battalion Center Port Hueneme,Ventura County
675,California,93060,33837,17588,16249,33.1,33837,5987,17.69364896,52939,21299.0,1420,4.196589532,10377,1967,329900,27348,94,245,673,4209,34.408910600000006,-119.0692659,Santa Paula,Ventura County
676,California,93063,56637,27906,28731,40.7,56637,4250,7.503928527,85666,35958.0,1973,3.4835884669999997,19641,1977,460500,44119,961,294,4985,2928,34.275113,-118.7095413,Simi Valley,Ventura County
677,California,93064,0,0,0,-666666666.0,0,0,,-666666666,-666666666.0,0,,21,-666666666,-666666666,0,0,0,0,0,34.2436893,-118.7023068,Brandeis,Ventura County
678,California,93065,72211,34995,37216,40.0,72211,3438,4.761047486,94921,41393.0,2430,3.365138275,24818,1980,484900,58318,805,359,6668,2938,34.2774306,-118.7897558,Simi Valley,Ventura County
