,City,tweet_created_at,hashtags,text,screen_name,user_id,user_created_at,user_friends_count,user_statuses_count,tweet_id
0,Beverly Hills,Wed Dec 20 00:55:05 +0000 2017,[],RT @NatCounterPunch: The Thomas fire has now swept through territory once lightly populated with Chumash Indians who were known to use cont…,NatCounterPunch,297688038,Thu May 12 23:04:47 +0000 2011,7603,11309,943283580708540417
1,Beverly Hills,Wed Dec 20 00:53:37 +0000 2017,[],"@PascoSheriff Not feeling too well, winds are whipping back up in SoCal, Lord we are praying 🙏🏼 for the Thomas fire… https://t.co/I4xzk8E1v5",japh92363,894016298249666561,Sun Aug 06 02:04:30 +0000 2017,96,1259,943283210842181632
2,Beverly Hills,Wed Dec 20 00:53:19 +0000 2017,[],RT @TroyCoby: Firefighters Appear to Win Weekend Battle with Thomas Fire https://t.co/oKBZMPfjj0,schiffer1_karen,770309357875716096,Mon Aug 29 17:17:17 +0000 2016,2442,44973,943283137353781248
3,Beverly Hills,Wed Dec 20 00:52:47 +0000 2017,"[{'text': 'ThomasFire', 'indices': [73, 84]}]",RT @KEYTNC3: Guide for safe clean-up and work practices during and after #ThomasFire. A message from the County of Santa Barbara. https://t…,abemora1,291926899,Mon May 02 20:51:53 +0000 2011,159,136052,943283002548899840
4,Beverly Hills,Wed Dec 20 00:51:40 +0000 2017,[],RT @BigDataEarth: Latest Landsat-8 satellite imagery (2017-12-18) covering the majority of the burn scar caused by the Thomas Fire (started…,CalDisasters,170554164,Sun Jul 25 04:16:32 +0000 2010,793,34321,943282721312276482
5,Beverly Hills,Wed Dec 20 00:51:12 +0000 2017,"[{'text': 'ThomasFire', 'indices': [48, 59]}]","RT @oflores: PROGRAMMING NOTE: Watch the 6 p.m. #ThomasFire press briefing for Dec. 19 live on KEYT NewsChannel 3, online on our website, o…",CalDisasters,170554164,Sun Jul 25 04:16:32 +0000 2010,793,34321,943282604719071232
6,Beverly Hills,Wed Dec 20 00:50:20 +0000 2017,"[{'text': 'MANDATORY', 'indices': [81, 91]}, {'text': 'EVACUATION', 'indices': [92, 103]}]",Long-Term Wildfire Evacuees Face Holidays Away From Home https://t.co/uFTguhqRE1 #MANDATORY #EVACUATION The Sawyers… https://t.co/Rx74UNu9YI,LiveEdges,210766152,Mon Nov 01 10:16:18 +0000 2010,4938,544945,943282384698560512
7,Beverly Hills,Wed Dec 20 00:50:19 +0000 2017,"[{'text': 'MANDATORY', 'indices': [69, 79]}, {'text': 'EVACUATION', 'indices': [80, 91]}]",All Quiet on the Thomas Fire's Western Front https://t.co/wq9nybz2tf #MANDATORY #EVACUATION The county also downgra… https://t.co/yxaWrhase7,LiveEdges,210766152,Mon Nov 01 10:16:18 +0000 2010,4938,544945,943282380034527237
8,Beverly Hills,Wed Dec 20 00:50:18 +0000 2017,"[{'text': 'MANDATORY', 'indices': [100, 110]}]","Thomas Fire Could Keep Burning Thanks To Poor Weather Conditions, NASA Says https://t.co/cXHvr2vA0O #MANDATORY… https://t.co/7mCN8q4UBw",LiveEdges,210766152,Mon Nov 01 10:16:18 +0000 2010,4938,544945,943282376699973632
9,Beverly Hills,Wed Dec 20 00:50:17 +0000 2017,"[{'text': 'MANDATORY', 'indices': [81, 91]}, {'text': 'EVACUATION', 'indices': [92, 103]}]",Calmer winds 'critical' in Southern California firefight https://t.co/24X5Hw8xBW #MANDATORY #EVACUATION A portion o… https://t.co/TGLomBvzF5,LiveEdges,210766152,Mon Nov 01 10:16:18 +0000 2010,4938,544945,943282372291768320
10,Beverly Hills,Wed Dec 20 00:50:16 +0000 2017,"[{'text': 'MANDATORY', 'indices': [98, 108]}]",Gusty winds expected to return this week as Thomas fire continues to grow https://t.co/KZtKTrCLtT #MANDATORY… https://t.co/QV7gxxH74P,LiveEdges,210766152,Mon Nov 01 10:16:18 +0000 2010,4938,544945,943282367069868036
11,Beverly Hills,Wed Dec 20 00:50:15 +0000 2017,"[{'text': 'MANDATORY', 'indices': [93, 103]}, {'text': 'EVACUATION', 'indices': [104, 115]}]",Ojai wildfire threatens businesses in several California communities https://t.co/GshrdVZUlE #MANDATORY #EVACUATION… https://t.co/46vtCOLNZQ,LiveEdges,210766152,Mon Nov 01 10:16:18 +0000 2010,4938,544945,943282363513139200
12,Beverly Hills,Wed Dec 20 00:50:04 +0000 2017,[],‘Defensible Space’ Couldn’t Keep Thomas Fire From Burning Ventura County https://t.co/bj3ZixpgqJ,KQEDnews,14885540,Fri May 23 19:31:54 +0000 2008,1125,52219,943282319435055104
13,Beverly Hills,Wed Dec 20 00:49:49 +0000 2017,[],RT @IngrahamAngle: Many firefighters say they’ve never encountered a situation like this in their careers. Many are on three-week shifts...…,Nvehecnycrrcom1,767497303204790272,Sun Aug 21 23:03:11 +0000 2016,5063,153442,943282252607258624
14,Beverly Hills,Wed Dec 20 00:49:39 +0000 2017,[],Oprah and Katy Perry Are Among Those Affected By Thomas Fire https://t.co/2J1wHQEweN,FlowPotomac,2356171628,Sat Feb 22 10:49:18 +0000 2014,534,5414,943282211587084293
15,Beverly Hills,Wed Dec 20 00:49:10 +0000 2017,[],"@Becca_Nova Yes, thank you. My dear friends who have been holed up at my house finally get to go home tonight. It i… https://t.co/qHCpT3ofRT",Niero_RFD,2682728503,Sat Jul 26 16:10:05 +0000 2014,591,9022,943282092837933057
16,Beverly Hills,Wed Dec 20 00:49:01 +0000 2017,"[{'text': 'VenturaMQG', 'indices': [16, 27]}]",RT @TheMQG: The #VenturaMQG is requesting charity blocks to be made to help the victims of the Thomas Fire in Ventura County. The block des…,wordygirl11,337168813,Sun Jul 17 15:37:14 +0000 2011,759,11201,943282054590017538
17,Beverly Hills,Wed Dec 20 00:48:48 +0000 2017,[],"RT @foodandwater: OUTRAGEOUS: While over 100,000 ppl are being evacuated from California amid fires, workers are being forced to stay to pi…",greeneatz,213441650,Mon Nov 08 23:00:39 +0000 2010,1435,4899,943281998898106368
18,Beverly Hills,Wed Dec 20 00:48:15 +0000 2017,[],📷 (via California Wildfires: Thomas Fire Could Become Largest in State History) https://t.co/YpNPNflUPH,cityguyusa,29695836,Wed Apr 08 11:37:33 +0000 2009,173,30068,943281859332632576
19,Beverly Hills,Wed Dec 20 00:47:08 +0000 2017,[],How winds have driven the Thomas Fire - Firefighters got a temporary reprieve from the winds that have driven the T… https://t.co/k7Qlr9UkBY,venturajournal,793127917,Fri Aug 31 05:12:06 +0000 2012,350,24903,943281578469482497
20,Beverly Hills,Wed Dec 20 00:46:58 +0000 2017,[],"RT @foodandwater: OUTRAGEOUS: While over 100,000 ppl are being evacuated from California amid fires, workers are being forced to stay to pi…",MaryGrant_Water,709760189419929600,Tue Mar 15 15:16:30 +0000 2016,405,2001,943281536312532993
21,Beverly Hills,Wed Dec 20 00:46:56 +0000 2017,[],"RT @NASA: Seen by @NASAEarth satellites in space, the Thomas Fire in CA continues to burn and is currently the 3rd largest in the state’s h…",IsabelRavents,367301882,Sat Sep 03 18:53:26 +0000 2011,2167,5998,943281527378595840
