,City,tweet_created_at,hashtags,text,screen_name,user_id,user_created_at,user_friends_count,user_statuses_count,tweet_id
0,Crescenta,Wed Dec 20 01:51:03 +0000 2017,[],"Santa Ana winds help clear the smoke from the Thomas fire, but health risks remain https://t.co/lU9V18VcKR",dariaibntamas,1694732888,Fri Aug 23 20:25:45 +0000 2013,100,4646,943297665554579456
1,Crescenta,Wed Dec 20 01:49:43 +0000 2017,[],Inferno-fanning winds set to return as Thomas Fire close to becoming largest in California history https://t.co/JxHl2CObBn via @nbcnews,katie34835857,1010868530,Fri Dec 14 10:31:26 +0000 2012,890,7879,943297330203148288
2,Crescenta,Wed Dec 20 01:47:14 +0000 2017,[],RT @businessinsider: Wildfire evacuees in Southern California grow impatient as the massive Thomas Fire rages on for a third week https://t…,1PrinceRif,2824542791,Sun Oct 12 07:19:18 +0000 2014,348,58617,943296705855938565
3,Crescenta,Wed Dec 20 01:47:13 +0000 2017,[],Wildfire evacuees in Southern California grow impatient as the massive Thomas Fire rages on for a third week… https://t.co/u3qYGSV4Ig,Juancarlos_Mike,111142773,Wed Feb 03 23:16:14 +0000 2010,949,217460,943296697983291393
4,Crescenta,Wed Dec 20 01:47:09 +0000 2017,[],Oprah and Katy Perry's Homes Threatened as Thomas Fire Grows to Third Largest in State History https://t.co/Us2OgxLjng via @people,MiguelHilarionC,1362826478,Thu Apr 18 20:20:20 +0000 2013,116,260,943296681570914305
5,Crescenta,Wed Dec 20 01:46:35 +0000 2017,[],California Gets Relief From Weather In Fighting Disastrous Thomas Fire,LudmilaVajenina,1174278972,Wed Feb 13 07:54:07 +0000 2013,361,32955,943296542500417536
6,Crescenta,Wed Dec 20 01:46:29 +0000 2017,"[{'text': 'ThomasFire', 'indices': [17, 28]}]","RT @EliasonMike: #ThomasFire- With the latest Star Wars movie playing, The Arlington Theatre’s marquee in Santa Barbara has an extra specia…",kimmihewbud,788601476,Wed Aug 29 05:25:03 +0000 2012,373,1625,943296515019128832
7,Crescenta,Wed Dec 20 01:46:27 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",DalissaHoliday,922562727016521728,Mon Oct 23 20:37:49 +0000 2017,1050,15230,943296505405779968
8,Crescenta,Wed Dec 20 01:46:11 +0000 2017,[],RT @BI_contributors: Wildfire evacuees in Southern California grow impatient as the massive Thomas Fire rages on for a third week https://t…,JFDunfee10,419975212,Thu Nov 24 01:26:11 +0000 2011,450,7593,943296438137688064
9,Crescenta,Wed Dec 20 01:45:59 +0000 2017,[],"RT @vcstar: Since the start, Santa Ana and sundowner winds have played a huge role in the Thomas Fire's race up the list of worst Californi…",mrogers_VCS,768950805835706368,Thu Aug 25 23:18:53 +0000 2016,938,6587,943296387382251521
10,Crescenta,Wed Dec 20 01:45:45 +0000 2017,"[{'text': 'ThomasFire', 'indices': [48, 59]}]","RT @KEYTNC3: PROGRAMMING NOTE: Watch the 6 p.m. #ThomasFire press briefing for Dec. 19 live on KEYT NewsChannel 3, online on our website, o…",rqskye,104342504,Wed Jan 13 01:51:53 +0000 2010,1524,183531,943296328842461185
11,Crescenta,Wed Dec 20 01:45:45 +0000 2017,[],RT @KCOYKeith: Coast Village Road businesses in Montecito like Jeannine's Bakery and the Honor Bar back open after being shut down by the T…,bobanahow,47645296,Tue Jun 16 15:04:48 +0000 2009,229,159,943296328683216896
12,Crescenta,Wed Dec 20 01:45:18 +0000 2017,"[{'text': 'ROIMentor', 'indices': [125, 135]}]",Wildfire evacuees in Southern California grow impatient as a massive blaze rages on for a third week https://t.co/G3f5iYLbje #ROIMentor,Taxtreats,409025449,Thu Nov 10 05:44:30 +0000 2011,11440,1140252,943296217555009536
13,Crescenta,Wed Dec 20 01:45:00 +0000 2017,[],"A 63-year-old man died while trying to rescue pets from a burning home at 9181 Thomas Road, just southwest of Atlan… https://t.co/RMXZb9q9Nu",NewCastleNews,42950890,Wed May 27 19:19:39 +0000 2009,53,9417,943296143173173248
14,Crescenta,Wed Dec 20 01:44:51 +0000 2017,"[{'text': 'ThomasFire', 'indices': [17, 28]}]","RT @EliasonMike: #ThomasFire- With the latest Star Wars movie playing, The Arlington Theatre’s marquee in Santa Barbara has an extra specia…",TylerHayden1,381795469,Wed Sep 28 23:27:56 +0000 2011,1475,2461,943296105889935360
15,Crescenta,Wed Dec 20 01:44:05 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",chipsonsale,1944327632,Mon Oct 07 14:47:49 +0000 2013,224,3434,943295913220562945
16,Crescenta,Wed Dec 20 01:43:31 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",Fluidphysics,380525334,Mon Sep 26 19:59:59 +0000 2011,115,8298,943295770232479744
17,Crescenta,Wed Dec 20 01:42:59 +0000 2017,[],Wildfire evacuees in Southern California grow impatient as a massive blaze rages on for a third week… https://t.co/mA99l4JzUF,Libreinfo,300045480,Tue May 17 03:16:45 +0000 2011,1127,124597,943295635880415232
18,Crescenta,Wed Dec 20 01:42:34 +0000 2017,[],RT @CHP_SantaBarb: Captain Cindy Pontes @CHP_SantaBarb pictured with @SenHannahBeth at the Thomas Fire community meeting.  Meeting took pla…,eldonredwards,1215919712,Sun Feb 24 16:21:50 +0000 2013,5001,36944,943295527705133056
19,Crescenta,Wed Dec 20 01:42:23 +0000 2017,[],Inferno-fanning winds set to return as Thomas Fire close to becoming largest ever in California https://t.co/HqmngHGFPZ via @nbcnews,LoriLocosloca,3115958713,Sun Mar 29 22:19:57 +0000 2015,805,20504,943295485439221760
20,Crescenta,Wed Dec 20 01:41:11 +0000 2017,"[{'text': 'ThomasFire', 'indices': [62, 73]}]",RT @ClaireTVnews: Such a precision fire retardant drop on the #ThomasFire in the area of East Camino Cielo captured by @KEYTNC3 photog @HJG…,ErikHDavis,1337744492,Mon Apr 08 22:12:01 +0000 2013,1425,3415,943295179410178048
21,Crescenta,Wed Dec 20 01:41:03 +0000 2017,[],RT @FOXLA: So awesome! Actor Rob Lowe opened his home and served a hearty dinner to fire crews battling the Thomas Fire in Santa Barbara.…,carmenz2u,38113564,Wed May 06 04:28:44 +0000 2009,117,2700,943295146006798337
22,Crescenta,Wed Dec 20 01:40:37 +0000 2017,[],RT @latimes: Gusty winds expected to return this week as Thomas fire continues to grow https://t.co/iHIXv6Up3B https://t.co/fjzYQgm15S,Eccentrie,31435069,Wed Apr 15 15:35:58 +0000 2009,8852,155922,943295038238294016
23,Crescenta,Wed Dec 20 01:39:58 +0000 2017,[],RT @businessinsider: Wildfire evacuees in Southern California grow impatient as the massive Thomas Fire rages on for a third week https://t…,AhmedNarysh,394576788,Thu Oct 20 09:10:19 +0000 2011,996,75714,943294876690583554
24,Crescenta,Wed Dec 20 01:39:32 +0000 2017,[],".

After Break, Winds Expected to Return as Firefight Continues in Still-Growing Thomas Fire https://t.co/uN92BMt5yj via @ktla",JohnBCool,18469822,Tue Dec 30 04:28:37 +0000 2008,4013,46226,943294767299022848
25,Crescenta,Wed Dec 20 01:39:20 +0000 2017,[],RT @BI_contributors: Wildfire evacuees in Southern California grow impatient as the massive Thomas Fire rages on for a third week https://t…,timbarnes10,21715368,Tue Feb 24 01:11:49 +0000 2009,368,2174,943294717806051329
26,Crescenta,Wed Dec 20 01:38:08 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",TheMetallo,583294807,Fri May 18 00:14:32 +0000 2012,420,2202,943294414302179328
27,Crescenta,Wed Dec 20 01:38:05 +0000 2017,"[{'text': 'ThomasFire', 'indices': [103, 114]}]",RT @CBSSacramento: Actor @RobLowe wanted to show 'respect' and 'gratitude' for fire crews battling the #ThomasFire. So he invited them into…,SJfinfan29,430868503,Wed Dec 07 17:14:54 +0000 2011,396,14673,943294401236819968
28,Crescenta,Wed Dec 20 01:38:03 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",CAIsocial,454266331,Tue Jan 03 20:12:32 +0000 2012,254,2469,943294393519366144
29,Crescenta,Wed Dec 20 01:37:32 +0000 2017,[],"@TeamPelosi We are on SS and Medicare, saved our house from the Thomas fire, and now we are faced with the avoricio… https://t.co/3htaewMS3N",whalerockmom,886260047386337284,Sat Jul 15 16:23:56 +0000 2017,427,11914,943294261096628224
30,Crescenta,Wed Dec 20 01:37:21 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",datfastboyy,859483525841526784,Tue May 02 19:03:35 +0000 2017,142,1053,943294214841888768
31,Crescenta,Wed Dec 20 01:37:09 +0000 2017,[],"""Wildfire evacuees in Southern California grow impatient as the massive Thomas Fire rages on for a third week… https://t.co/QiMlDX49Dm",market4justice,3351027946,Mon Jun 29 17:37:07 +0000 2015,136,201192,943294166578225152
32,Crescenta,Wed Dec 20 01:36:57 +0000 2017,[],"RT @vcstar: Since the start, Santa Ana and sundowner winds have played a huge role in the Thomas Fire's race up the list of worst Californi…",Bewickwren,144703320,Mon May 17 02:44:28 +0000 2010,6395,106989,943294117811032064
33,Crescenta,Wed Dec 20 01:36:56 +0000 2017,[],"RT @Cal_OES: The Local Assistance Center (LAC) in Ventura County is assisting residents impacted by the Thomas Fire, now the third largest…",WhyKiwiWhy,2992546855,Thu Jan 22 19:13:47 +0000 2015,278,10847,943294110189764608
34,Crescenta,Wed Dec 20 01:36:37 +0000 2017,"[{'text': 'ThomasFire', 'indices': [17, 28]}]","RT @EliasonMike: #ThomasFire- With the latest Star Wars movie playing, The Arlington Theatre’s marquee in Santa Barbara has an extra specia…",Zooziewog,728338908,Tue Jul 31 12:59:22 +0000 2012,219,108,943294030799966209
35,Crescenta,Wed Dec 20 01:36:02 +0000 2017,[],Wildfire evacuees in Southern California grow impatient as the massive Thomas Fire rages on for a third week… https://t.co/cE7Nov5cXP,BI_contributors,224372609,Wed Dec 08 20:53:17 +0000 2010,387,125007,943293884045582336
36,Crescenta,Wed Dec 20 01:36:02 +0000 2017,[],Wildfire evacuees in Southern California grow impatient as the massive Thomas Fire rages on for a third week… https://t.co/w524I6ez63,businessinsider,20562637,Wed Feb 11 01:18:18 +0000 2009,213,448269,943293884045541376
37,Crescenta,Wed Dec 20 01:36:02 +0000 2017,[],Wildfire evacuees in Southern California grow impatient as the massive Thomas Fire rages on for a third week… https://t.co/pSI94XHJRq,SciInsider,608310777,Thu Jun 14 15:22:01 +0000 2012,866,46065,943293884037083136
38,Crescenta,Wed Dec 20 01:35:55 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",bigforkgirl,17680562,Thu Nov 27 15:34:26 +0000 2008,576,76446,943293856820486144
39,Crescenta,Wed Dec 20 01:35:42 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",tfddhff2,943289543079481344,Wed Dec 20 01:18:47 +0000 2017,6,9,943293800134430720
40,Crescenta,Wed Dec 20 01:35:18 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",stacy_e_k,15245547,Thu Jun 26 16:56:01 +0000 2008,479,56719,943293702255951872
41,Crescenta,Wed Dec 20 01:34:13 +0000 2017,[],"Half of California's Thomas Fire contained, but winds expected to return https://t.co/93mS3anGrs",vrin11,1030435626,Sun Dec 23 12:05:09 +0000 2012,413,11793,943293429303320576
42,Crescenta,Wed Dec 20 01:33:35 +0000 2017,"[{'text': 'ThomasFire', 'indices': [77, 88]}]",RT @wildfiretoday: Rob Lowe had some firefighters over for dinner during the #ThomasFire https://t.co/ebux2GIJjJ https://t.co/6ewxsnEhpt,jaycc72,737759205650665472,Tue May 31 21:34:36 +0000 2016,48,25,943293269420707840
43,Crescenta,Wed Dec 20 01:33:06 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",Deingirl,67648323,Fri Aug 21 16:25:36 +0000 2009,1240,28363,943293145411964929
44,Crescenta,Wed Dec 20 01:32:41 +0000 2017,[],Firefighters Appear to Win Weekend Battle with Thomas Fire - Breitbart https://t.co/s9AqCYWyLP via @BreitbartNews,WethePeoplePets,32942732,Sat Apr 18 17:03:37 +0000 2009,1338,147031,943293044161372161
45,Crescenta,Wed Dec 20 01:32:24 +0000 2017,[],"RT @Cal_OES: The Local Assistance Center (LAC) in Ventura County is assisting residents impacted by the Thomas Fire, now the third largest…",QueenPufferfish,335636699,Fri Jul 15 00:34:52 +0000 2011,251,2074,943292970110918656
46,Crescenta,Wed Dec 20 01:31:58 +0000 2017,[],RT @DanielNMiller: Haunting @yamphoto images of Thomas Fire devastation. https://t.co/qZU2zMmLV9,Corbie25,717267003241725952,Tue Apr 05 08:25:54 +0000 2016,123,3199,943292860937396224
47,Crescenta,Wed Dec 20 01:31:50 +0000 2017,[],RT @SenKamalaHarris: Deeply saddened to learn a firefighter was killed today while battling the Thomas Fire. These brave men and women are…,CateyeMinty,25887788,Sun Mar 22 21:48:23 +0000 2009,4687,107166,943292830407041024
48,Crescenta,Wed Dec 20 01:31:36 +0000 2017,[],RT @DrHarryLime: Thomas Fire set to become California's largest-ever wildfire https://t.co/iD8rp4S0JJ via @canberratimes,Gareth_PanChem,544677406,Tue Apr 03 23:33:56 +0000 2012,1430,97896,943292769916805120
49,Crescenta,Wed Dec 20 01:31:26 +0000 2017,[],"RT @Cal_OES: The Local Assistance Center (LAC) in Ventura County is assisting residents impacted by the Thomas Fire, now the third largest…",VCFD,22829079,Wed Mar 04 20:32:06 +0000 2009,187,5763,943292729886306304
50,Crescenta,Wed Dec 20 01:31:10 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",NatriceR,125322205,Mon Mar 22 12:49:10 +0000 2010,14796,252131,943292658759462912
51,Crescenta,Wed Dec 20 01:30:53 +0000 2017,[],"RT @CNN: Firefighters battling one of the biggest blazes in California's history hailed a ""productive day"" as weather conditions continue t…",serenesophia,814991827468222464,Sat Dec 31 00:29:28 +0000 2016,435,7530,943292589637361665
52,Crescenta,Wed Dec 20 01:30:26 +0000 2017,"[{'text': 'Thomasfire', 'indices': [72, 83]}]","Santa Barbara Vintners Foundation, Foodbank helping those devastated by #Thomasfire with new fundraising efforts… https://t.co/BIhZEqB7IL",LompocRecord,152060321,Sat Jun 05 00:07:27 +0000 2010,206,7919,943292476525301760
53,Crescenta,Wed Dec 20 01:30:12 +0000 2017,"[{'text': 'California', 'indices': [87, 98]}, {'text': 'USA', 'indices': [99, 103]}, {'text': 'Copernicus', 'indices': [118, 129]}, {'text': 'Sentinel', 'indices': [130, 139]}]","RT @Pierre_Markuse: NIR/SWIR version, better showing the burn scar of the Thomas Fire🔥 #California #USA🇺🇸 18 Dec 2017 #Copernicus #Sentinel…",CharlieFrid,506531851,Mon Feb 27 23:00:55 +0000 2012,3071,31463,943292416626487296
54,Crescenta,Wed Dec 20 01:30:10 +0000 2017,[],"Since the start, Santa Ana and sundowner winds have played a huge role in the Thomas Fire's race up the list of wor… https://t.co/WMiYZcpva8",vcstar,15292065,Tue Jul 01 21:17:47 +0000 2008,315,75808,943292409458446336
55,Crescenta,Wed Dec 20 01:29:35 +0000 2017,[],"RT @stuartpalley: Red Flag warning in place for Santa Barbara county over the Thomas Fire starting tomorrow evening, then probably over LA…",retrofacd,782358235571302400,Sat Oct 01 23:15:13 +0000 2016,660,185,943292261294469120
56,Crescenta,Wed Dec 20 01:28:25 +0000 2017,[],"RT @foodandwater: OUTRAGEOUS: While over 100,000 ppl are being evacuated from California amid fires, workers are being forced to stay to pi…",bendicoot,23468714,Mon Mar 09 17:44:06 +0000 2009,1764,49463,943291968632782849
57,Crescenta,Wed Dec 20 01:27:42 +0000 2017,[],RT @DrHarryLime: Thomas Fire set to become California's largest-ever wildfire https://t.co/iD8rp4S0JJ via @canberratimes,oldguy537,199472986,Wed Oct 06 23:33:14 +0000 2010,1444,30571,943291790102224896
58,Crescenta,Wed Dec 20 01:27:20 +0000 2017,[],"RT @ABC: ""Monster"" Thomas fire in Southern California now 50% contained, after having burned at least 271,000 acres. https://t.co/PnVKw1UsT…",TrumpsCloset,717726650079817728,Wed Apr 06 14:52:22 +0000 2016,3758,13308,943291696686780416
59,Crescenta,Wed Dec 20 01:27:19 +0000 2017,[],Thomas Fire set to become California's largest-ever wildfire https://t.co/iD8rp4S0JJ via @canberratimes,DrHarryLime,249742970,Wed Feb 09 17:48:48 +0000 2011,2386,52359,943291692467105792
60,Crescenta,Wed Dec 20 01:26:05 +0000 2017,[],"Red flags and sundowners: How the winds have driven the Thomas fire
 https://t.co/lEARgBydya",summedupusa,742350855953735680,Mon Jun 13 13:40:11 +0000 2016,7,223619,943291381212000256
